id_servico;id_orgao;nome_orgao;servico;servico_digital;avaliacoes_negativas;avaliacoes_positivas;porcentagem_digital
1158;37534;Ministério da Saúde (MS);Capacitar-se em temas de saúde;false;2;83;100
43;37534;Ministério da Saúde (MS);Inscrever-se na lista nacional de espera para transplante de órgãos;false;3;23;50
2574;37021;Instituto de Pesquisas Jardim Botânico do Rio de Janeiro (JBRJ);Obter coleta de plantas das coleções vivas;false;0;1;50
1699;4715;Banco Central do Brasil (BACEN);Obter informações do Banco Central;false;10;13;100
1179;37542;Ministério do Desenvolvimento Social  (MDS);Receber gratuitamente alimentos produzidos pela agricultura familiar via Estados e Municípios;false;1;6;0
991;37528;Ministério da Educação (MEC);Candidatar-se ao Prêmio Professores do Brasil;false;1;23;50
1698;37544;Ministério do Meio Ambiente (MMA);Obter sistema de dessalinização para comunidades rurais da região semiárida;false;1;0;0
51;36802;Instituto Nacional do Seguro Social (INSS);Obter pensão por morte para dependentes de trabalhador que recebia benefício anterior do INSS;false;36;51;66
1425;37536;Ministério das Cidades (MCIDADES);Obter financiamento para aquisição de ônibus para transporte público;false;0;1;0
1700;822;Advocacia-Geral da União (AGU);Obter pesquisa de manifestação jurídica;false;2;1;100
1701;4715;Banco Central do Brasil (BACEN);Registrar manifestação sobre serviços prestados pelo Banco Central;false;0;0;100
2588;55943;Superintendência de Seguros Privados (SUSEP);Obter Autorização para Aquisição ou Funcionamento de Corretoras de Resseguros;false;0;0;0
73;37547;Ministério do Turismo (MTur);Cadastrar estabelecimentos/serviços acessíveis;false;7;14;100
2589;55943;Superintendência de Seguros Privados (SUSEP);Cadastrar Resseguradores Admitidos e Eventuais;false;1;1;0
1702;822;Advocacia-Geral da União (AGU);Obter defesa judicial e extrajudicial para autarquias e fundações públicas federais;false;0;1;100
1007;37529;Ministério da Fazenda (MF);Cadastrar-se no Sistema Eletrônico de Intercâmbio do COAF;false;2;2;100
2964;34308;Fundação Jorge Duprat Figueiredo, de Segurança e Medicina do Trabalho (FUNDACENTRO);Fazer curso na área de segurança e saúde no trabalho.;true;1;23;66
1008;37529;Ministério da Fazenda (MF);Habilitar-se como interveniente em Comércio Exterior;false;7;7;100
